Table Names,Year,Month,Mean Temp.,Total Precip (mm),Year-1,Month-1,Zone ,Sex,Frequency,Frequency of suicide excluding drug toxicity suicide deaths (i.e. drug overdose)
weather till 2012.csv,2009,Jan,-7.7,128.1,2009,Jan,Nova Scotia,Total,10,9
weather till 2012.csv,2009,Feb,-4.5,92.1,2009,Feb,Nova Scotia,Total,9,7
weather till 2012.csv,2009,Mar,-1.7,156.2,2009,Mar,Nova Scotia,Total,13,9
weather till 2012.csv,2009,Apr,5.4,158.8,2009,Apr,Nova Scotia,Total,6,5
weather till 2012.csv,2009,May,10.8,88.6,2009,May,Nova Scotia,Total,13,9
weather till 2012.csv,2009,Jun,,,2009,Jun,Nova Scotia,Total,10,8
weather till 2012.csv,2009,Jul,17.6,71,2009,Jul,Nova Scotia,Total,11,7
weather till 2012.csv,2009,Aug,19.9,179.6,2009,Aug,Nova Scotia,Total,17,11
weather till 2012.csv,2009,Sep,13.7,73,2009,Sep,Nova Scotia,Total,6,4
weather till 2012.csv,2009,Oct,6.9,166.9,2009,Oct,Nova Scotia,Total,16,10
weather till 2012.csv,2009,Nov,5.6,95.1,2009,Nov,Nova Scotia,Total,14,12
weather till 2012.csv,2009,Dec,-2.5,149.6,2009,Dec,Nova Scotia,Total,8,5
weather till 2012.csv,2010,Jan,-4.1,92.4,2010,Jan,Nova Scotia,Total,10,9
weather till 2012.csv,2010,Feb,-3.2,72,2010,Feb,Nova Scotia,Total,9,6
weather till 2012.csv,2010,Mar,2.1,93,2010,Mar,Nova Scotia,Total,14,12
weather till 2012.csv,2010,Apr,7.3,39.9,2010,Apr,Nova Scotia,Total,12,12
weather till 2012.csv,2010,May,11.1,48,2010,May,Nova Scotia,Total,11,8
weather till 2012.csv,2010,Jun,15.2,99.6,2010,Jun,Nova Scotia,Total,4,4
weather till 2012.csv,2010,Jul,19.8,125.2,2010,Jul,Nova Scotia,Total,12,6
weather till 2012.csv,2010,Aug,19.4,65.3,2010,Aug,Nova Scotia,Total,5,5
weather till 2012.csv,2010,Sep,16.3,117.5,2010,Sep,Nova Scotia,Total,7,7
weather till 2012.csv,2010,Oct,9.2,153.6,2010,Oct,Nova Scotia,Total,6,6
weather till 2012.csv,2010,Nov,4.1,226.3,2010,Nov,Nova Scotia,Total,5,4
weather till 2012.csv,2010,Dec,0.7,191,2010,Dec,Nova Scotia,Total,8,5
weather till 2012.csv,2011,Jan,-4.6,112.4,2011,Jan,Nova Scotia,Total,8,8
weather till 2012.csv,2011,Feb,-5.4,166.2,2011,Feb,Nova Scotia,Total,6,5
weather till 2012.csv,2011,Mar,-0.9,67.8,2011,Mar,Nova Scotia,Total,12,11
weather till 2012.csv,2011,Apr,4.9,124.2,2011,Apr,Nova Scotia,Total,7,5
weather till 2012.csv,2011,May,10.6,124.2,2011,May,Nova Scotia,Total,14,10
weather till 2012.csv,2011,Jun,13.7,144.3,2011,Jun,Nova Scotia,Total,11,7
weather till 2012.csv,2011,Jul,18.8,94.3,2011,Jul,Nova Scotia,Total,6,4
weather till 2012.csv,2011,Aug,18.5,135.6,2011,Aug,Nova Scotia,Total,16,14
weather till 2012.csv,2011,Sep,16,43.1,2011,Sep,Nova Scotia,Total,7,6
weather till 2012.csv,2011,Oct,10.3,334.8,2011,Oct,Nova Scotia,Total,11,7
weather till 2012.csv,2011,Nov,5.2,191.9,2011,Nov,Nova Scotia,Total,5,3
weather till 2012.csv,2011,Dec,0.5,183.9,2011,Dec,Nova Scotia,Total,11,8
weather till 2012.csv,2012,Jan,-3.7,120.7,2012,Jan,Nova Scotia,Total,14,11
weather till 2012.csv,2012,Feb,-4,106.9,2012,Feb,Nova Scotia,Total,5,3
weather till 2012.csv,2012,Mar,1.9,64.5,2012,Mar,Nova Scotia,Total,12,8
weather till 2012.csv,2012,Apr,6,91.4,2012,Apr,Nova Scotia,Total,15,9
weather till 2012.csv,2012,May,11.8,101.8,2012,May,Nova Scotia,Total,12,11
weather till 2012.csv,2012,Jun,14.6,75.1,2012,Jun,Nova Scotia,Total,12,8
weather till 2012.csv,2012,Jul,20,58.5,2012,Jul,Nova Scotia,Total,11,11
weather till 2012.csv,2012,Aug,20.7,54.1,2012,Aug,Nova Scotia,Total,11,8
weather till 2012.csv,2012,Sep,16.9,148.9,2012,Sep,Nova Scotia,Total,4,4
weather_after 2012.xlsx/Sheet1,2012,Oct,10.8,103.7,2012,Oct,Nova Scotia,Total,12,10
